Grupo_Posicion,Centros,Finalizacion,Precision_Cabeza,Pase_Corto,Voleas,Regates,Curva,Precision_Tiro_Libre,Pase_Largo,Control_Balon,Aceleracion,Velocidad_Sprint,Agilidad,Reacciones,Equilibrio,Potencia_Tiro,Salto,Resistencia,Fuerza,Tiros_Lejanos,Agresividad,Intercepciones,Posicionamiento,Marcaje,Entrada_Normal,Entrada_Agresiva,Estirada_Portero,Parada_Portero,Saque_Portero,Posicion_Portero,Reflejos_Portero,Habilidad_Top_1,Habilidad_Top_2,Habilidad_Top_3
Atacante,50.8,65.9,60.1,59.8,57.7,65.1,53.6,46.5,48.0,65.4,71.2,71.7,69.1,62.2,66.7,66.4,66.3,64.4,66.3,59.8,51.6,28.0,65.2,31.1,27.6,25.2,10.4,10.5,10.6,10.4,10.5,Velocidad_Sprint,Aceleracion,Agilidad
Defensor,51.2,35.1,61.1,59.2,35.6,52.4,43.4,38.9,53.5,57.7,64.2,65.2,60.3,61.6,61.5,51.4,69.1,68.0,70.6,39.6,65.5,63.8,43.9,63.9,66.7,65.0,10.5,10.6,10.5,10.5,10.5,Fuerza,Salto,Resistencia
Mediocampista,58.5,54.3,52.1,67.0,50.8,65.4,56.8,52.9,62.4,66.9,69.5,68.6,70.4,62.7,70.9,63.3,63.2,68.2,61.7,57.4,58.5,50.2,59.0,50.6,51.4,48.7,10.5,10.6,10.6,10.6,10.5,Equilibrio,Agilidad,Aceleracion
Portero,14.3,12.0,14.4,27.3,12.4,13.9,14.7,14.5,25.8,19.9,38.3,38.7,40.2,58.9,43.1,22.5,57.7,30.5,60.6,12.7,26.4,17.1,11.3,15.2,14.1,14.1,65.3,62.9,61.5,63.0,66.1,Reflejos_Portero,Estirada_Portero,Posicion_Portero
